snapshotTimestamp,twinId,delayRatio,jamFactor,currentSpeed,freeFlowSpeed,hour,dow,lat,lon,pavementStressIndex,pavementStressIndex_future
2025-12-03 03:10:17.220936+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:14:52.916848+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:15:51.981381+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:19:02.766412+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:23:59.565903+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:33:23.997116+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:33:34.631196+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:38:39.372971+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:43:40.913450+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:45:20.067906+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:49:04.741920+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:54:09.413516+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 03:59:09.457224+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,3,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:02:25.293396+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:07:24.803041+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:08:20.878121+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:13:42.857073+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:14:05.306375+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:16:31.020301+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:19:05.236842+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:24:03.267501+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:28:34.644924+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:33:32.941454+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:38:31.516147+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:43:30.028153+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:48:29.628901+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:53:30.403221+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 04:58:28.298008+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,4,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:03:27.619976+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:08:27.175658+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:13:27.490870+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:18:26.075788+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:22:27.694617+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:26:28.732831+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:30:30.505739+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:35:27.035560+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:40:27.705288+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:45:48.966667+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:47:03.850110+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:51:30.353668+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:52:29.098808+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:55:11.137761+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 05:56:58.107615+00:00,road_26.4417_-81.76108,1.0,0.0,81,81,5,2,26.441702,-81.76108,0.6,0.6
2025-12-03 02:53:30.291731+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,2,2,26.441702,-81.78412,0.6,0.6
2025-12-03 02:53:31.772472+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,2,2,26.441702,-81.78412,0.6,0.6
2025-12-03 02:58:39.144145+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,2,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:00:07.212980+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:04:55.098051+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:08:41.346209+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:10:17.220936+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:14:52.916848+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:15:51.981381+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:19:02.766412+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:23:59.565903+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:33:23.997116+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:33:34.631196+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:38:39.372971+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:43:40.913450+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:45:20.067906+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:49:04.741920+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:54:09.413516+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 03:59:09.457224+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,3,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:02:25.293396+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:07:24.803041+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:08:20.878121+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:13:42.857073+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:14:05.306375+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:16:31.020301+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:19:05.236842+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:24:03.267501+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:28:34.644924+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:33:32.941454+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:38:31.516147+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:43:30.028153+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:48:29.628901+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:53:30.403221+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 04:58:28.298008+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,4,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:03:27.619976+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:08:27.175658+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:13:27.490870+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:18:26.075788+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:22:27.694617+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:26:28.732831+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:30:30.505739+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:35:27.035560+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:40:27.705288+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:45:48.966667+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:47:03.850110+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:51:30.353668+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:52:29.098808+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:55:11.137761+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 05:56:58.107615+00:00,road_26.4417_-81.78412,1.0,0.0,122,122,5,2,26.441702,-81.78412,0.6,0.6
2025-12-03 02:53:30.291731+00:00,road_26.4419_-81.77,1.0,0.0,56,56,2,2,26.4419,-81.77,0.6,0.6
2025-12-03 02:53:31.772472+00:00,road_26.4419_-81.77,1.0,0.0,56,56,2,2,26.4419,-81.77,0.6,0.6
2025-12-03 02:58:39.144145+00:00,road_26.4419_-81.77,1.0,0.0,56,56,2,2,26.4419,-81.77,0.6,0.6574243490499648
2025-12-03 03:00:07.212980+00:00,road_26.4419_-81.77,1.0612244897959184,0.5172413793103448,55,58,3,2,26.4419,-81.77,0.6574243490499648,0.6
2025-12-03 03:04:55.098051+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:08:41.346209+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:10:17.220936+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:14:52.916848+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:15:51.981381+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:19:02.766412+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:23:59.565903+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:33:23.997116+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:33:34.631196+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:38:39.372971+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 03:43:40.913450+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6574243490499648
2025-12-03 03:45:20.067906+00:00,road_26.4419_-81.77,1.0612244897959184,0.5172413793103448,55,58,3,2,26.4419,-81.77,0.6574243490499648,0.7323529411764705
2025-12-03 03:49:04.741920+00:00,road_26.4419_-81.77,1.1372549019607843,1.25,49,56,3,2,26.4419,-81.77,0.7323529411764705,0.6
2025-12-03 03:54:09.413516+00:00,road_26.4419_-81.77,1.0,0.0,56,56,3,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:02:25.293396+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:07:24.803041+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:08:20.878121+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:13:42.857073+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:14:05.306375+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:16:31.020301+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:19:05.236842+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:24:03.267501+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:33:32.941454+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:38:31.516147+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:43:30.028153+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:48:29.628901+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:53:30.403221+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 04:58:28.298008+00:00,road_26.4419_-81.77,1.0,0.0,56,56,4,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:03:27.619976+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:08:27.175658+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:13:27.490870+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:18:26.075788+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:22:27.694617+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:26:28.732831+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:30:30.505739+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:35:27.035560+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:40:27.705288+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:45:48.966667+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:47:03.850110+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:51:30.353668+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:52:29.098808+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:55:11.137761+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 05:56:58.107615+00:00,road_26.4419_-81.77,1.0,0.0,56,56,5,2,26.4419,-81.77,0.6,0.6
2025-12-03 02:53:30.291731+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,2,2,26.4419,-81.7706,0.6,0.6
2025-12-03 02:53:31.772472+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,2,2,26.4419,-81.7706,0.6,0.6
2025-12-03 02:58:39.144145+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,2,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:00:07.212980+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:04:55.098051+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:08:41.346209+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:10:17.220936+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:14:52.916848+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:15:51.981381+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:19:02.766412+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:23:59.565903+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:33:23.997116+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:33:34.631196+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:38:39.372971+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:43:40.913450+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:45:20.067906+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:49:04.741920+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:54:09.413516+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 03:59:09.457224+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,3,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:02:25.293396+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:07:24.803041+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:08:20.878121+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:13:42.857073+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:14:05.306375+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:16:31.020301+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:19:05.236842+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:24:03.267501+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:28:34.644924+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:33:32.941454+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:38:31.516147+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:43:30.028153+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:48:29.628901+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:53:30.403221+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 04:58:28.298008+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,4,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:03:27.619976+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:08:27.175658+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:13:27.490870+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:18:26.075788+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:22:27.694617+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:26:28.732831+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:30:30.505739+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:35:27.035560+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:40:27.705288+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:45:48.966667+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:47:03.850110+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:51:30.353668+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:52:29.098808+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:55:11.137761+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 05:56:58.107615+00:00,road_26.4419_-81.7706,1.0,0.0,55,55,5,2,26.4419,-81.7706,0.6,0.6
2025-12-03 02:53:30.291731+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,2,2,26.4419,-81.7712,0.6,0.6
2025-12-03 02:53:31.772472+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,2,2,26.4419,-81.7712,0.6,0.6
2025-12-03 02:58:39.144145+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,2,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:00:07.212980+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:04:55.098051+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:08:41.346209+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:10:17.220936+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:14:52.916848+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:15:51.981381+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:19:02.766412+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:23:59.565903+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:33:23.997116+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:33:34.631196+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:38:39.372971+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:43:40.913450+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:45:20.067906+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
2025-12-03 03:49:04.741920+00:00,road_26.4419_-81.7712,1.0,0.0,55,55,3,2,26.4419,-81.7712,0.6,0.6
